Date reported to Alberta Health,Number of lab tests,Cumulative number of lab tests,Number of cases,Cumulative number of cases,Currently hospitalized,Currently in ICU,count_hosp_covid_related,count_icu_covid_related,Cumulative number of deaths,Number of deaths,Number of variants of concern,Percent positivity
2023-04-08,484,7449627,41,631206,471,18,229,10,5675,3,5,9.3
2023-04-09,518,7450145,44,631250,467,18,228,11,5676,1,9,9.07
2023-04-10,524,7450669,46,631296,477,18,232,11,5678,2,7,10.11
2023-04-11,647,7451316,48,631344,467,21,230,13,5678,0,8,7.73
2023-04-12,559,7451875,47,631391,469,19,231,12,5680,2,7,9.12
2023-04-13,541,7452416,44,631435,478,19,240,14,5681,1,4,8.13
2023-04-14,540,7452956,39,631474,483,21,243,15,5684,3,6,8.89
2023-04-15,452,7453408,37,631511,465,18,233,13,5685,1,0,10.4
2023-04-16,461,7453869,48,631559,473,19,235,12,5691,6,2,10.85
2023-04-17,497,7454366,45,631604,484,20,235,12,5692,1,3,10.06
2023-04-18,579,7454945,66,631670,497,19,249,11,5695,3,3,13.3
2023-04-19,665,7455610,72,631742,503,23,246,13,5698,3,5,12.18
2023-04-20,580,7456190,57,631799,504,23,241,14,5700,2,3,10.69
2023-04-21,584,7456774,47,631846,495,21,241,15,5701,1,1,8.05
2023-04-22,497,7457271,48,631894,481,21,224,14,5704,3,3,10.06
2023-04-23,609,7457880,48,631942,492,20,227,13,5705,1,8,9.2
2023-04-24,527,7458407,49,631991,511,23,235,15,5708,3,1,9.68
2023-04-25,634,7459041,52,632043,518,26,239,16,5710,2,1,8.36
2023-04-26,517,7459558,51,632094,513,26,239,14,5713,3,0,10.64
2023-04-27,521,7460079,46,632140,512,22,235,12,5718,5,0,10.56
2023-04-28,611,7460690,59,632199,510,23,235,14,5720,2,3,11.13
2023-04-29,525,7461215,36,632235,501,24,237,17,5720,0,2,7.81
2023-04-30,496,7461711,32,632267,500,25,233,17,5722,2,0,7.66
2023-05-01,502,7462213,45,632312,509,23,236,17,5722,0,3,9.36
2023-05-02,606,7462819,51,632363,511,23,241,17,5723,1,0,10.23
2023-05-03,623,7463442,50,632413,509,19,235,14,5725,2,1,8.99
2023-05-04,566,7464008,48,632461,499,18,228,12,5726,1,2,10.78
2023-05-05,494,7464502,50,632511,500,18,227,10,5728,2,2,11.54
2023-05-06,474,7464976,40,632551,484,21,217,11,5730,2,1,9.07
2023-05-07,366,7465342,29,632580,482,21,213,12,5730,0,2,10.38
2023-05-08,534,7465876,51,632631,504,22,223,14,5735,5,0,11.05
2023-05-09,460,7466336,49,632680,517,22,231,16,5736,1,1,11.3
2023-05-10,495,7466831,40,632720,521,20,236,16,5738,2,3,9.49
2023-05-11,577,7467408,43,632763,503,21,230,17,5740,2,2,8.49
2023-05-12,500,7467908,45,632808,484,24,225,19,5744,4,2,9.8
2023-05-13,417,7468325,40,632848,481,21,229,15,5745,1,1,11.51
2023-05-14,453,7468778,32,632880,484,21,230,16,5748,3,0,7.51
2023-05-15,424,7469202,28,632908,495,20,232,15,5751,3,0,7.08
2023-05-16,512,7469714,49,632957,497,18,239,14,5754,3,0,11.33
2023-05-17,502,7470216,30,632987,484,17,221,13,5756,2,2,6.77
2023-05-18,427,7470643,33,633020,483,17,215,12,5759,3,2,8.67
2023-05-19,466,7471109,29,633049,461,14,208,10,5761,2,0,6.22
2023-05-20,443,7471552,27,633076,447,14,197,9,5762,1,0,7.45
2023-05-21,411,7471963,32,633108,458,13,197,9,5763,1,1,10.46
2023-05-22,408,7472371,24,633132,453,11,195,8,5764,1,0,7.11
2023-05-23,448,7472819,41,633173,463,13,200,7,5765,1,2,10.04
2023-05-24,445,7473264,21,633194,454,15,192,8,5765,0,0,6.07
2023-05-25,516,7473780,40,633234,450,14,190,6,5765,0,1,9.11
2023-05-26,454,7474234,20,633254,435,12,185,5,5767,2,0,4.41
2023-05-27,420,7474654,33,633287,427,11,179,5,5768,1,2,9.76
2023-05-28,332,7474986,26,633313,430,12,181,6,5771,3,1,9.94
2023-05-29,429,7475415,23,633336,440,13,185,6,5774,3,1,5.83
2023-05-30,620,7476035,39,633375,431,13,180,7,5777,3,1,6.94
2023-05-31,430,7476465,30,633405,429,13,179,8,5779,2,1,9.07
2023-06-01,443,7476908,23,633428,423,13,169,7,5781,2,2,5.87
2023-06-02,463,7477371,28,633456,424,13,164,7,5784,3,1,6.26
2023-06-03,399,7477770,22,633478,408,11,157,8,5785,1,1,6.77
2023-06-04,395,7478165,21,633499,408,9,156,7,5787,2,0,6.08
2023-06-05,444,7478609,18,633517,413,12,159,10,5789,2,0,5.18
2023-06-06,464,7479073,22,633539,400,12,149,10,5792,3,0,5.17
2023-06-07,379,7479452,8,633547,385,10,145,10,5794,2,0,2.37
2023-06-08,481,7479933,23,633570,375,10,138,10,5796,2,0,4.99
2023-06-09,172,7480105,4,633574,362,8,130,7,5797,1,0,2.33
2023-06-10,616,7480721,28,633602,353,8,129,6,5798,1,0,4.55
2023-06-11,308,7481029,10,633612,352,7,129,5,5799,1,0,3.25
2023-06-12,353,7481382,16,633628,357,8,130,4,5800,1,0,4.53
2023-06-13,400,7481782,14,633642,350,9,128,3,5801,1,0,4
2023-06-14,292,7482074,8,633650,350,9,131,4,5801,0,0,2.74
2023-06-15,472,7482546,17,633667,342,10,127,4,5802,1,1,3.81
2023-06-16,329,7482875,14,633681,333,11,119,5,5802,0,1,4.26
2023-06-17,293,7483168,13,633694,329,10,121,5,5803,1,1,4.78
2023-06-18,300,7483468,9,633703,327,8,117,3,5803,0,0,4
2023-06-19,314,7483782,18,633721,334,9,124,4,5804,1,0,6.37
2023-06-20,352,7484134,10,633731,327,9,125,4,5805,1,0,2.84
2023-06-21,307,7484441,10,633741,326,9,131,6,5805,0,0,3.26
2023-06-22,373,7484814,8,633749,326,8,129,5,5806,1,0,3.22
2023-06-23,352,7485166,14,633763,318,9,124,6,5806,0,0,3.98
2023-06-24,296,7485462,19,633782,306,7,122,3,5807,1,0,7.09
2023-06-25,324,7485786,6,633788,308,6,125,3,5809,2,0,2.78
2023-06-26,333,7486119,14,633802,313,5,126,3,5809,0,0,4.5
2023-06-27,344,7486463,12,633814,305,6,121,3,5809,0,0,3.78
2023-06-28,343,7486806,13,633827,293,3,116,2,5809,0,1,4.08
2023-06-29,331,7487137,15,633842,294,4,117,3,5810,1,0,5.14
2023-06-30,331,7487468,13,633855,287,3,116,2,5811,1,0,3.93
2023-07-01,331,7487799,23,633878,284,4,115,3,5813,2,0,7.85
2023-07-02,247,7488046,5,633883,278,3,108,2,5814,1,0,2.02
2023-07-03,303,7488349,15,633898,286,3,113,2,5815,1,0,5.61
2023-07-04,321,7488670,6,633904,282,4,111,2,5815,0,0,2.18
2023-07-05,320,7488990,3,633907,274,5,101,2,5815,0,0,1.25
2023-07-06,335,7489325,13,633920,269,5,98,2,5815,0,0,3.88
2023-07-07,357,7489682,10,633930,268,3,100,1,5815,0,0,2.8
2023-07-08,308,7489990,10,633940,264,4,98,1,5816,1,0,3.25
2023-07-09,263,7490253,7,633947,258,4,97,1,5816,0,0,3.04
2023-07-10,341,7490594,15,633962,261,7,100,2,5817,1,0,4.4
2023-07-11,318,7490912,13,633975,256,7,97,2,5817,0,0,4.09
2023-07-12,288,7491200,5,633980,255,6,97,2,5817,0,0,1.74
2023-07-13,275,7491475,6,633986,245,6,93,2,5817,0,0,2.18
2023-07-14,318,7491793,7,633993,243,6,92,2,5817,0,0,2.2
2023-07-15,296,7492089,13,634006,241,8,87,2,5817,0,0,4.39
2023-07-16,266,7492355,10,634016,241,8,90,2,5817,0,0,4.14
2023-07-17,343,7492698,13,634029,244,7,92,2,5817,0,0,4.37
2023-07-18,349,7493047,12,634041,244,6,,,5817,0,0,4.3
2023-07-19,311,7493358,19,634060,240,6,,,5817,0,0,6.43
2023-07-20,256,7493614,11,634071,241,6,,,5818,1,0,5.08
2023-07-21,379,7493993,19,634090,238,5,,,5818,0,0,5.01
2023-07-22,272,7494265,17,634107,234,5,,,5818,0,0,6.25
2023-07-23,289,7494554,14,634121,239,7,,,5818,0,0,4.84
2023-07-24,364,7494918,28,634149,242,7,,,5818,0,0,7.69
